Age,Income,Credit_Score,Loan_Amount,Employment_Years,Existing_Loan,Loan_Term,Debt_to_Income,Loan_Approved
59,64327,502,610315,35,0,3,36.2,Yes
49,88904,643,929979,29,1,7,31.4,No
35,23797,529,223921,16,0,3,58.8,No
28,67882,736,936559,8,0,15,59.2,Yes
41,33718,778,723218,17,1,15,28.5,No
59,54560,847,789522,35,1,7,43.8,No
39,96589,614,653291,21,0,5,61.0,No
43,42116,603,757755,25,0,7,62.9,No
31,56244,617,614046,8,0,15,38.0,Yes
31,21645,504,366456,8,0,7,34.9,No
44,67523,747,380814,22,1,3,25.3,Yes
56,39256,820,132279,33,1,7,62.7,No
60,73173,620,65434,35,0,5,17.9,Yes
44,57430,785,769407,25,0,3,41.9,No
23,59282,648,490991,0,1,10,25.5,No
42,83374,583,387913,18,0,15,25.3,Yes
22,88244,730,820042,0,0,15,32.3,Yes
44,31694,787,378821,21,0,7,64.9,Yes
50,76264,660,133555,31,0,3,13.0,Yes
58,95060,771,702667,34,1,10,41.8,Yes
22,77545,537,791280,0,0,3,14.5,Yes
41,59224,725,813799,20,0,15,18.5,Yes
53,33224,641,226806,32,0,3,34.2,No
32,60738,791,938097,14,1,10,38.1,Yes
42,45150,650,531719,18,0,7,24.2,No
45,83731,613,483819,23,0,5,27.4,Yes
47,69688,736,519924,27,0,3,14.8,Yes
48,93509,565,118803,28,0,5,26.7,Yes
36,28577,840,482548,17,0,15,63.2,No
35,28070,757,928135,11,0,7,62.0,No
23,28666,748,857744,0,0,7,28.4,No
57,77761,830,798736,35,0,3,41.4,Yes
27,56368,822,527742,3,1,7,60.0,Yes
41,26783,679,749539,19,0,3,10.3,Yes
29,61914,689,776802,8,0,3,54.6,Yes
59,90507,653,295404,35,0,5,62.2,Yes
38,99026,695,692249,14,1,7,15.0,Yes
24,87526,810,352523,6,0,3,18.9,Yes
45,90835,761,67297,22,1,5,62.8,Yes
34,65765,642,838443,16,1,10,39.6,No
29,39956,841,559346,11,0,5,10.8,Yes
46,66240,815,170234,24,1,5,24.2,Yes
22,57148,600,618302,3,0,3,34.7,Yes
40,24757,743,817454,16,0,15,48.1,No
48,39097,511,979242,30,1,15,50.3,Yes
27,30395,738,930765,9,1,15,64.7,No
28,36241,548,228570,5,0,5,25.8,Yes
55,47696,541,833152,35,0,3,39.6,No
34,90480,665,847552,14,0,7,39.3,Yes
37,66163,581,559733,18,1,5,32.3,No
56,39816,790,976271,32,0,5,19.3,Yes
60,69840,657,334996,35,0,3,63.8,Yes
24,72853,715,391383,1,0,10,56.9,Yes
22,44917,657,444145,0,0,5,37.4,Yes
26,41566,633,782847,2,1,10,43.2,No
24,95452,566,561603,4,0,10,22.5,Yes
49,82823,835,665863,25,1,15,39.9,Yes
38,40806,506,557365,18,0,3,48.2,No
46,95520,513,669328,27,1,10,38.3,No
54,21759,572,198510,35,0,3,64.5,No
30,61949,662,229587,9,0,15,43.6,Yes
56,22482,565,580032,35,0,3,30.4,No
34,44442,846,789180,14,0,5,52.5,Yes
51,53719,629,485633,29,0,10,19.4,Yes
35,78066,705,974573,11,1,3,31.1,Yes
28,22079,775,878791,10,1,7,29.1,No
34,22717,755,725159,10,0,3,33.7,Yes
43,79676,765,410890,22,0,10,53.0,Yes
60,47952,524,799122,35,0,15,36.6,No
41,62460,780,695194,21,0,15,53.7,No
36,92847,752,251260,18,1,10,41.7,Yes
38,38449,809,795219,14,1,5,28.8,No
44,53536,788,827881,20,0,5,54.5,Yes
46,84077,663,813034,24,0,15,23.1,Yes
45,58258,594,581885,22,0,15,22.3,Yes
49,68302,769,883525,31,1,10,37.7,Yes
35,48865,820,480442,14,0,5,24.3,No
21,26645,609,253199,0,1,15,10.5,No
45,58000,835,426794,22,1,5,45.7,Yes
27,46737,809,534585,3,0,15,38.1,Yes
29,31485,737,782722,7,1,3,34.5,No
44,58565,524,731777,22,0,7,63.2,No
21,45522,640,986197,0,1,3,41.4,No
28,85155,616,522890,6,0,15,57.5,No
44,75168,524,433100,25,0,7,17.7,Yes
31,72487,578,165598,8,1,7,41.3,No
37,32342,567,300100,13,1,15,57.7,No
28,60806,672,832877,9,1,15,42.1,No
55,68770,511,758521,32,0,5,49.5,No
55,98623,787,826676,35,1,15,30.5,Yes
53,95629,627,183241,35,0,10,15.1,Yes
25,72603,595,789452,4,1,15,35.2,No
59,46399,591,203124,35,0,10,31.7,Yes
48,96534,640,515065,28,1,15,57.7,No
27,75106,530,254923,5,1,5,23.4,No
29,50678,833,58036,10,1,10,63.2,Yes
28,96218,519,606066,4,0,3,62.7,No
32,83230,645,995238,8,0,10,23.6,Yes
54,94055,815,204245,30,1,5,29.1,Yes
53,76373,659,735763,31,0,10,59.3,Yes
43,51480,848,252747,23,1,15,63.2,Yes
44,88836,542,973848,20,0,15,34.4,Yes
57,92258,753,593088,35,0,5,27.7,Yes
55,59986,629,337516,33,1,7,38.9,No
60,44160,559,373660,35,0,15,47.8,Yes
42,99111,650,856970,22,0,3,25.0,Yes
47,84929,786,900350,28,0,5,50.5,Yes
55,93506,504,982477,33,0,10,12.8,Yes
21,54911,765,383299,0,1,10,12.7,Yes
55,51821,844,805600,34,0,3,31.2,Yes
57,95039,629,109500,35,1,15,29.4,No
34,80535,766,217647,12,1,5,27.4,Yes
23,32175,677,286527,0,0,3,37.0,Yes
21,74771,752,485477,0,1,15,27.6,Yes
25,86358,555,684947,4,0,5,20.6,Yes
46,37327,582,602004,28,0,10,27.0,No
34,67057,598,446452,13,1,5,63.6,No
59,26150,648,459064,35,0,7,32.6,No
47,24425,828,52352,29,0,5,34.5,Yes
29,36032,655,183004,6,0,7,41.7,Yes
35,22198,689,912881,16,0,5,64.1,No
35,80500,762,582844,13,0,7,23.3,Yes
46,73394,579,836261,22,1,10,47.5,No
33,40079,751,398980,13,0,15,49.4,Yes
52,56220,596,710858,34,0,7,43.4,No
59,61874,759,781478,35,0,7,14.9,Yes
52,33859,759,100098,34,0,10,47.2,Yes
24,70460,602,424313,2,0,7,13.5,Yes
50,51419,539,714929,27,0,3,42.8,No
57,28705,772,297199,35,0,10,50.7,Yes
43,62880,600,176060,21,0,3,21.6,Yes
59,43236,807,237954,35,0,10,56.3,Yes
35,35358,720,775753,12,0,7,11.7,Yes
49,96918,807,180544,28,1,3,56.4,Yes
56,34596,623,574628,35,1,7,35.3,No
33,53572,730,749309,9,0,10,22.0,No
52,98757,677,656590,28,1,7,17.4,Yes
27,21279,562,797028,6,1,3,62.4,Yes
42,83197,615,517243,23,0,3,14.0,Yes
48,82516,690,574426,28,0,7,21.0,Yes
22,27083,561,443574,0,1,5,29.1,No
26,37771,755,693907,6,1,10,44.1,No
48,49975,506,518466,26,0,10,40.0,Yes
48,65648,654,921808,27,1,7,16.9,Yes
40,68285,591,674219,16,0,5,25.9,Yes
50,39063,513,998158,31,1,3,23.1,No
31,87642,728,206951,7,1,15,21.7,Yes
48,57599,585,917964,28,0,15,32.6,No
45,71920,632,892210,21,1,7,48.7,No
59,48529,682,612060,35,0,5,22.0,Yes
53,55954,561,108478,34,1,5,30.2,No
21,47856,718,507569,1,1,10,31.5,Yes
47,22573,745,601050,28,0,3,63.7,Yes
33,98344,729,194355,11,0,5,62.5,Yes
23,55367,578,769282,0,0,15,54.0,No
59,80774,648,744780,35,1,3,23.3,No
26,43752,637,892000,3,0,3,13.7,No
28,75029,813,921522,4,1,7,27.4,Yes
47,37685,564,856651,25,0,5,24.7,No
29,71693,512,893601,10,0,7,37.8,No
57,75961,712,543671,35,0,5,52.8,Yes
53,96908,741,649253,31,1,10,57.2,Yes
44,94532,712,227912,21,1,7,56.5,Yes
35,76133,680,225767,16,1,7,29.8,Yes
52,81268,837,286281,34,1,15,47.8,Yes
52,58243,672,134754,34,1,7,27.2,Yes
44,77384,659,652276,23,0,5,13.3,Yes
32,51653,663,501558,8,0,15,48.6,Yes
59,46657,687,557732,35,0,7,10.5,Yes
22,59952,690,200023,1,1,7,32.5,Yes
23,42180,807,706667,4,1,10,28.1,Yes
57,98411,755,130388,35,0,7,48.1,Yes
37,21622,682,927200,19,1,3,52.1,No
22,68756,616,871860,4,1,15,26.7,No
22,60809,781,289779,3,0,3,54.6,Yes
48,36725,695,928453,30,0,15,26.2,Yes
43,81396,533,954850,21,0,10,34.5,Yes
57,71226,551,256846,35,0,7,50.0,Yes
52,49402,611,744335,32,1,7,48.1,No
53,24263,751,182212,32,0,7,64.3,Yes
21,66828,581,992346,1,0,15,22.4,No
39,67924,731,862853,16,1,7,46.4,No
22,94182,726,838140,4,1,3,43.5,Yes
46,79052,732,971134,23,1,7,60.3,No
52,31664,720,462811,28,0,10,18.6,Yes
26,55737,541,650309,2,0,3,51.3,No
52,49373,520,209380,29,1,7,41.3,No
24,56397,541,94789,5,0,7,25.1,Yes
31,58709,612,76086,11,0,5,36.1,Yes
37,81120,604,329003,14,0,15,28.4,Yes
58,39250,691,581972,34,0,3,41.9,No
44,41172,516,141088,21,0,5,58.9,Yes
25,31555,619,444423,6,0,10,41.3,No
54,98617,628,620387,31,0,15,44.7,No
26,73276,629,640381,6,0,3,38.5,Yes
42,77492,559,210761,21,0,7,12.8,Yes
31,73002,547,885083,12,0,3,22.8,No
36,92355,528,588181,12,1,7,37.1,Yes
53,44762,596,541024,33,0,15,27.1,No
29,31046,509,640706,6,0,7,20.0,No
26,48769,741,175074,3,0,10,37.7,Yes
36,73302,813,939497,15,0,7,27.8,Yes
49,43150,731,180351,25,0,10,24.2,Yes
23,88247,776,765371,0,0,15,35.5,Yes
40,24853,783,88635,18,1,15,17.3,Yes
56,41792,702,145071,32,0,3,61.0,Yes
39,79129,746,515918,18,0,10,57.7,Yes
46,94478,789,914950,28,1,10,48.9,Yes
23,87298,763,418377,1,0,5,15.8,Yes
39,51987,713,940083,17,0,5,52.7,Yes
40,35850,699,647093,17,0,5,54.4,No
52,32112,578,471280,29,1,7,52.2,No
27,44058,842,959245,3,0,5,16.3,Yes
53,65420,843,391207,31,0,10,45.4,Yes
60,58890,672,314598,35,0,7,55.9,Yes
59,86017,568,333022,35,1,15,41.8,No
38,67304,586,232170,15,0,3,45.6,No
60,52921,600,243226,35,1,5,35.2,No
21,21524,507,194063,2,0,15,39.1,No
31,35048,832,642632,8,1,10,11.9,No
48,55111,699,941378,26,1,3,45.1,Yes
45,57904,586,610881,27,0,15,14.5,Yes
43,74912,542,610592,25,0,3,33.9,Yes
51,54008,608,473602,29,0,5,26.1,Yes
50,20060,651,760580,30,0,10,40.0,Yes
55,94666,516,163613,35,1,3,17.3,No
27,75337,632,774698,8,0,15,48.0,No
36,33350,647,537505,15,0,5,53.7,Yes
46,44354,776,464299,24,0,5,19.0,Yes
22,65186,731,592642,0,1,15,15.7,Yes
21,48145,813,334334,2,0,15,18.0,Yes
32,54020,727,580430,11,0,3,58.2,Yes
25,95186,638,471614,4,0,7,39.1,Yes
57,40581,710,233043,35,1,5,35.7,Yes
52,43051,527,878294,31,0,3,15.9,No
29,71474,550,758770,7,0,15,45.7,No
55,89626,760,200575,35,0,3,57.7,Yes
39,26960,760,175438,16,0,15,55.6,Yes
36,55772,849,622744,17,0,10,44.4,Yes
23,41520,507,674455,3,1,15,14.1,No
40,69481,819,918467,17,1,15,16.2,Yes
44,56408,637,844448,25,0,15,12.7,No
53,77134,537,314528,31,1,7,24.2,No
44,40491,610,243392,25,0,15,17.5,Yes
31,21341,719,458288,13,1,5,24.3,No
28,64623,836,152239,6,1,5,31.2,Yes
56,20338,722,685719,33,0,3,61.9,No
58,91431,635,916450,34,1,7,43.6,Yes
60,32254,755,614798,35,0,3,55.9,No
40,71860,828,754293,21,0,5,49.1,Yes
55,31344,548,858258,31,0,5,16.2,No
45,21750,791,380170,23,0,10,50.5,No
55,74756,823,171668,34,1,15,25.1,Yes
45,87957,577,816988,23,1,5,45.2,No
49,78053,604,468734,28,0,3,28.8,Yes
38,90855,668,598333,15,1,3,64.9,Yes
38,35896,716,231948,18,1,15,24.5,Yes
22,75761,618,535662,1,0,15,25.4,Yes
55,82552,689,664390,31,0,10,61.2,Yes
36,97454,754,364063,14,0,7,11.4,Yes
56,47935,765,673729,33,1,3,48.3,No
53,57641,648,208175,29,1,15,49.9,No
24,49711,663,299877,1,0,3,56.0,Yes
53,90342,639,186917,33,1,15,63.6,No
34,32182,846,267770,16,0,5,63.7,Yes
41,76276,757,692613,19,0,3,13.6,No
40,39541,768,593625,21,0,5,55.2,No
28,64813,680,727673,6,0,3,45.5,Yes
27,57198,659,994447,7,0,7,45.6,Yes
23,28820,850,390093,1,0,10,17.1,No
37,44070,787,836708,18,0,5,45.8,Yes
53,89768,787,363295,32,0,15,64.0,Yes
32,31122,725,985115,9,0,7,60.2,No
42,93543,510,717304,23,1,3,34.2,No
42,61786,509,889319,18,0,5,12.2,No
50,26737,770,655730,30,1,3,29.9,No
58,56062,772,99847,35,0,3,55.5,Yes
58,74237,682,108653,34,0,3,48.6,Yes
28,71571,652,791432,4,1,10,35.3,Yes
47,45510,814,827949,27,0,10,13.0,Yes
47,39426,833,368766,26,0,15,33.5,Yes
54,57265,623,339954,35,1,5,35.8,Yes
41,37850,613,127842,17,0,7,61.1,No
50,86150,777,958657,26,0,7,45.3,Yes
53,94910,712,322647,32,0,7,27.1,Yes
48,72375,671,134761,26,0,3,38.9,Yes
53,55435,787,480192,29,0,10,13.6,Yes
25,77132,673,962871,2,0,5,63.5,No
39,98945,612,848022,18,1,3,29.8,No
24,22983,621,566637,0,1,10,36.3,No
55,40662,531,716246,35,1,10,29.5,No
37,43510,721,980370,18,0,5,47.5,Yes
48,98187,618,378768,25,1,5,46.4,No
50,60998,538,738152,31,0,5,49.3,No
49,76846,767,452980,30,1,3,24.7,Yes
26,26640,732,831198,2,1,15,27.4,No
55,64547,517,170356,32,1,5,16.9,No
