Day,Date,Month,Season,Temperature_C,Ice_Cream_Sales
Wednesday,2025-01-01,January,Winter,24.0,253
Thursday,2025-01-02,January,Winter,22.8,257
Friday,2025-01-03,January,Winter,24.4,268
Saturday,2025-01-04,January,Winter,26.2,293
Sunday,2025-01-05,January,Winter,22.7,254
Monday,2025-01-06,January,Winter,22.8,241
Tuesday,2025-01-07,January,Winter,26.5,283
Wednesday,2025-01-08,January,Winter,24.9,293
Thursday,2025-01-09,January,Winter,22.5,268
Friday,2025-01-10,January,Winter,24.5,308
Saturday,2025-01-11,January,Winter,22.6,251
Sunday,2025-01-12,January,Winter,22.6,283
Monday,2025-01-13,January,Winter,24.1,254
Tuesday,2025-01-14,January,Winter,19.8,263
Wednesday,2025-01-15,January,Winter,20.3,218
Thursday,2025-01-16,January,Winter,22.6,236
Friday,2025-01-17,January,Winter,21.8,238
Saturday,2025-01-18,January,Winter,24.5,241
Sunday,2025-01-19,January,Winter,22.1,254
Monday,2025-01-20,January,Winter,21.1,215
Tuesday,2025-01-21,January,Winter,26.9,279
Wednesday,2025-01-22,January,Winter,23.6,263
Thursday,2025-01-23,January,Winter,24.2,297
Friday,2025-01-24,January,Winter,21.3,262
Saturday,2025-01-25,January,Winter,23.1,258
Sunday,2025-01-26,January,Winter,24.5,266
Monday,2025-01-27,January,Winter,22.0,244
Tuesday,2025-01-28,January,Winter,25.1,239
Wednesday,2025-01-29,January,Winter,23.2,287
Thursday,2025-01-30,January,Winter,23.9,282
Friday,2025-01-31,January,Winter,23.3,251
Saturday,2025-02-01,February,Winter,28.2,276
Sunday,2025-02-02,February,Winter,24.5,306
Monday,2025-02-03,February,Winter,22.5,237
Tuesday,2025-02-04,February,Winter,26.3,295
Wednesday,2025-02-05,February,Winter,22.3,219
Thursday,2025-02-06,February,Winter,25.2,260
Friday,2025-02-07,February,Winter,20.9,242
Saturday,2025-02-08,February,Winter,22.2,262
Sunday,2025-02-09,February,Winter,25.3,280
Monday,2025-02-10,February,Winter,26.4,279
Tuesday,2025-02-11,February,Winter,25.3,246
Wednesday,2025-02-12,February,Winter,24.8,263
Thursday,2025-02-13,February,Winter,24.4,267
Friday,2025-02-14,February,Winter,22.1,260
Saturday,2025-02-15,February,Winter,23.7,286
Sunday,2025-02-16,February,Winter,24.2,259
Monday,2025-02-17,February,Winter,27.3,247
Tuesday,2025-02-18,February,Winter,25.9,292
Wednesday,2025-02-19,February,Winter,21.7,249
Thursday,2025-02-20,February,Winter,25.9,263
Friday,2025-02-21,February,Winter,24.5,297
Saturday,2025-02-22,February,Winter,24.0,277
Sunday,2025-02-23,February,Winter,26.6,319
Monday,2025-02-24,February,Winter,27.5,277
Tuesday,2025-02-25,February,Winter,27.3,317
Wednesday,2025-02-26,February,Winter,23.8,290
Thursday,2025-02-27,February,Winter,24.9,264
Friday,2025-02-28,February,Winter,26.2,299
Saturday,2025-03-01,March,Summer,38.5,395
Sunday,2025-03-02,March,Summer,35.6,390
Monday,2025-03-03,March,Summer,36.2,324
Tuesday,2025-03-04,March,Summer,34.4,345
Wednesday,2025-03-05,March,Summer,34.3,356
Thursday,2025-03-06,March,Summer,38.3,338
Friday,2025-03-07,March,Summer,39.4,359
Saturday,2025-03-08,March,Summer,36.6,333
Sunday,2025-03-09,March,Summer,38.7,383
Monday,2025-03-10,March,Summer,37.5,364
Tuesday,2025-03-11,March,Summer,35.5,368
Wednesday,2025-03-12,March,Summer,37.5,363
Thursday,2025-03-13,March,Summer,39.9,411
Friday,2025-03-14,March,Summer,36.8,336
Saturday,2025-03-15,March,Summer,40.0,364
Sunday,2025-03-16,March,Summer,31.6,334
Monday,2025-03-17,March,Summer,38.5,366
Tuesday,2025-03-18,March,Summer,37.1,353
Wednesday,2025-03-19,March,Summer,36.3,315
Thursday,2025-03-20,March,Summer,37.1,359
Friday,2025-03-21,March,Summer,33.0,309
Saturday,2025-03-22,March,Summer,36.5,381
Sunday,2025-03-23,March,Summer,37.7,387
Monday,2025-03-24,March,Summer,39.9,352
Tuesday,2025-03-25,March,Summer,35.9,335
Wednesday,2025-03-26,March,Summer,35.4,326
Thursday,2025-03-27,March,Summer,36.0,351
Friday,2025-03-28,March,Summer,38.8,393
Saturday,2025-03-29,March,Summer,37.6,359
Sunday,2025-03-30,March,Summer,35.9,376
Monday,2025-03-31,March,Summer,38.0,345
Tuesday,2025-04-01,April,Summer,37.2,340
Wednesday,2025-04-02,April,Summer,38.9,370
Thursday,2025-04-03,April,Summer,35.6,330
Friday,2025-04-04,April,Summer,36.3,347
Saturday,2025-04-05,April,Summer,36.2,345
Sunday,2025-04-06,April,Summer,34.1,389
Monday,2025-04-07,April,Summer,37.6,353
Tuesday,2025-04-08,April,Summer,37.5,344
Wednesday,2025-04-09,April,Summer,37.0,361
Thursday,2025-04-10,April,Summer,36.5,354
Friday,2025-04-11,April,Summer,34.1,337
Saturday,2025-04-12,April,Summer,36.1,377
Sunday,2025-04-13,April,Summer,36.3,384
Monday,2025-04-14,April,Summer,35.3,325
Tuesday,2025-04-15,April,Summer,36.6,339
Wednesday,2025-04-16,April,Summer,37.7,358
Thursday,2025-04-17,April,Summer,40.7,346
Friday,2025-04-18,April,Summer,37.2,337
Saturday,2025-04-19,April,Summer,37.4,400
Sunday,2025-04-20,April,Summer,36.7,403
Monday,2025-04-21,April,Summer,33.0,313
Tuesday,2025-04-22,April,Summer,36.8,361
Wednesday,2025-04-23,April,Summer,36.9,362
Thursday,2025-04-24,April,Summer,41.7,450
Friday,2025-04-25,April,Summer,36.4,378
Saturday,2025-04-26,April,Summer,37.4,373
Sunday,2025-04-27,April,Summer,36.7,356
Monday,2025-04-28,April,Summer,34.4,299
Tuesday,2025-04-29,April,Summer,39.0,371
Wednesday,2025-04-30,April,Summer,38.2,353
Thursday,2025-05-01,May,Summer,38.2,343
Friday,2025-05-02,May,Summer,34.8,334
Saturday,2025-05-03,May,Summer,39.4,371
Sunday,2025-05-04,May,Summer,33.8,382
Monday,2025-05-05,May,Summer,37.7,369
Tuesday,2025-05-06,May,Summer,40.9,382
Wednesday,2025-05-07,May,Summer,34.5,365
Thursday,2025-05-08,May,Summer,35.3,348
Friday,2025-05-09,May,Summer,36.6,344
Saturday,2025-05-10,May,Summer,35.4,388
Sunday,2025-05-11,May,Summer,33.3,357
Monday,2025-05-12,May,Summer,36.5,325
Tuesday,2025-05-13,May,Summer,34.2,328
Wednesday,2025-05-14,May,Summer,37.2,343
Thursday,2025-05-15,May,Summer,34.4,315
Friday,2025-05-16,May,Summer,39.3,396
Saturday,2025-05-17,May,Summer,34.6,389
Sunday,2025-05-18,May,Summer,35.5,339
Monday,2025-05-19,May,Summer,37.7,363
Tuesday,2025-05-20,May,Summer,33.6,315
Wednesday,2025-05-21,May,Summer,36.5,345
Thursday,2025-05-22,May,Summer,38.6,361
Friday,2025-05-23,May,Summer,32.7,315
Saturday,2025-05-24,May,Summer,36.3,368
Sunday,2025-05-25,May,Summer,36.4,356
Monday,2025-05-26,May,Summer,37.4,355
Tuesday,2025-05-27,May,Summer,33.3,324
Wednesday,2025-05-28,May,Summer,33.1,324
Thursday,2025-05-29,May,Summer,36.7,341
Friday,2025-05-30,May,Summer,36.2,346
Saturday,2025-05-31,May,Summer,36.1,379
Sunday,2025-06-01,June,Monsoon,31.2,341
Monday,2025-06-02,June,Monsoon,29.1,271
Tuesday,2025-06-03,June,Monsoon,30.9,309
Wednesday,2025-06-04,June,Monsoon,31.0,326
Thursday,2025-06-05,June,Monsoon,28.9,269
Friday,2025-06-06,June,Monsoon,34.1,351
Saturday,2025-06-07,June,Monsoon,31.2,317
Sunday,2025-06-08,June,Monsoon,27.8,317
Monday,2025-06-09,June,Monsoon,31.5,293
Tuesday,2025-06-10,June,Monsoon,28.2,254
Wednesday,2025-06-11,June,Monsoon,31.7,288
Thursday,2025-06-12,June,Monsoon,32.4,326
Friday,2025-06-13,June,Monsoon,28.3,302
Saturday,2025-06-14,June,Monsoon,31.9,318
Sunday,2025-06-15,June,Monsoon,30.7,340
Monday,2025-06-16,June,Monsoon,31.5,276
Tuesday,2025-06-17,June,Monsoon,33.6,326
Wednesday,2025-06-18,June,Monsoon,29.3,278
Thursday,2025-06-19,June,Monsoon,28.2,282
Friday,2025-06-20,June,Monsoon,27.9,295
Saturday,2025-06-21,June,Monsoon,28.0,290
Sunday,2025-06-22,June,Monsoon,29.4,312
Monday,2025-06-23,June,Monsoon,30.2,315
Tuesday,2025-06-24,June,Monsoon,30.0,290
Wednesday,2025-06-25,June,Monsoon,31.0,328
Thursday,2025-06-26,June,Monsoon,29.4,282
Friday,2025-06-27,June,Monsoon,32.2,336
Saturday,2025-06-28,June,Monsoon,28.7,336
Sunday,2025-06-29,June,Monsoon,34.6,313
Monday,2025-06-30,June,Monsoon,30.4,284
Tuesday,2025-07-01,July,Monsoon,27.4,291
Wednesday,2025-07-02,July,Monsoon,26.9,278
Thursday,2025-07-03,July,Monsoon,29.9,313
Friday,2025-07-04,July,Monsoon,28.5,288
Saturday,2025-07-05,July,Monsoon,30.3,324
Sunday,2025-07-06,July,Monsoon,29.8,319
Monday,2025-07-07,July,Monsoon,28.6,306
Tuesday,2025-07-08,July,Monsoon,27.0,282
Wednesday,2025-07-09,July,Monsoon,25.6,278
Thursday,2025-07-10,July,Monsoon,27.7,282
Friday,2025-07-11,July,Monsoon,30.3,303
Saturday,2025-07-12,July,Monsoon,28.9,304
Sunday,2025-07-13,July,Monsoon,26.0,300
Monday,2025-07-14,July,Monsoon,28.8,278
Tuesday,2025-07-15,July,Monsoon,29.1,298
Wednesday,2025-07-16,July,Monsoon,26.5,316
Thursday,2025-07-17,July,Monsoon,28.6,312
Friday,2025-07-18,July,Monsoon,28.3,291
Saturday,2025-07-19,July,Monsoon,25.9,311
Sunday,2025-07-20,July,Monsoon,28.8,307
Monday,2025-07-21,July,Monsoon,29.2,252
Tuesday,2025-07-22,July,Monsoon,30.2,283
Wednesday,2025-07-23,July,Monsoon,30.1,272
Thursday,2025-07-24,July,Monsoon,25.2,265
Friday,2025-07-25,July,Monsoon,26.0,280
Saturday,2025-07-26,July,Monsoon,28.8,341
Sunday,2025-07-27,July,Monsoon,28.8,320
Monday,2025-07-28,July,Monsoon,28.8,282
Tuesday,2025-07-29,July,Monsoon,35.4,355
Wednesday,2025-07-30,July,Monsoon,28.8,256
Thursday,2025-07-31,July,Monsoon,29.9,310
Friday,2025-08-01,August,Monsoon,29.4,319
Saturday,2025-08-02,August,Monsoon,28.8,284
Sunday,2025-08-03,August,Monsoon,26.8,320
Monday,2025-08-04,August,Monsoon,28.9,293
Tuesday,2025-08-05,August,Monsoon,25.8,261
Wednesday,2025-08-06,August,Monsoon,26.8,292
Thursday,2025-08-07,August,Monsoon,26.3,320
Friday,2025-08-08,August,Monsoon,27.4,294
Saturday,2025-08-09,August,Monsoon,31.8,338
Sunday,2025-08-10,August,Monsoon,23.4,265
Monday,2025-08-11,August,Monsoon,28.5,268
Tuesday,2025-08-12,August,Monsoon,23.8,268
Wednesday,2025-08-13,August,Monsoon,26.1,260
Thursday,2025-08-14,August,Monsoon,29.2,302
Friday,2025-08-15,August,Monsoon,27.1,280
Saturday,2025-08-16,August,Monsoon,24.8,290
Sunday,2025-08-17,August,Monsoon,25.5,295
Monday,2025-08-18,August,Monsoon,28.2,300
Tuesday,2025-08-19,August,Monsoon,25.4,256
Wednesday,2025-08-20,August,Monsoon,27.2,279
Thursday,2025-08-21,August,Monsoon,26.8,265
Friday,2025-08-22,August,Monsoon,25.4,268
Saturday,2025-08-23,August,Monsoon,31.0,334
Sunday,2025-08-24,August,Monsoon,27.9,321
Monday,2025-08-25,August,Monsoon,22.6,223
Tuesday,2025-08-26,August,Monsoon,27.0,293
Wednesday,2025-08-27,August,Monsoon,25.2,293
Thursday,2025-08-28,August,Monsoon,28.2,301
Friday,2025-08-29,August,Monsoon,24.9,306
Saturday,2025-08-30,August,Monsoon,26.2,278
Sunday,2025-08-31,August,Monsoon,27.4,281
Monday,2025-09-01,September,Monsoon,28.1,249
Tuesday,2025-09-02,September,Monsoon,24.0,282
Wednesday,2025-09-03,September,Monsoon,25.7,285
Thursday,2025-09-04,September,Monsoon,25.4,271
Friday,2025-09-05,September,Monsoon,25.0,278
Saturday,2025-09-06,September,Monsoon,29.8,298
Sunday,2025-09-07,September,Monsoon,27.1,345
Monday,2025-09-08,September,Monsoon,23.7,250
Tuesday,2025-09-09,September,Monsoon,28.1,288
Wednesday,2025-09-10,September,Monsoon,30.5,322
Thursday,2025-09-11,September,Monsoon,28.3,303
Friday,2025-09-12,September,Monsoon,23.1,262
Saturday,2025-09-13,September,Monsoon,25.2,270
Sunday,2025-09-14,September,Monsoon,28.7,322
Monday,2025-09-15,September,Monsoon,24.7,289
Tuesday,2025-09-16,September,Monsoon,27.0,302
Wednesday,2025-09-17,September,Monsoon,27.6,316
Thursday,2025-09-18,September,Monsoon,24.2,254
Friday,2025-09-19,September,Monsoon,26.0,262
Saturday,2025-09-20,September,Monsoon,19.6,240
Sunday,2025-09-21,September,Monsoon,24.0,279
Monday,2025-09-22,September,Monsoon,25.5,281
Tuesday,2025-09-23,September,Monsoon,23.5,221
